Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
17.9,-0.409897,-1.036495,2.256223,1.734822,0.0,0.0
18.0,-0.419657,-1.032852,2.238451,1.740702,0.0,0.0
18.1,-0.426424,-1.028283,2.218742,1.747279,0.0,0.0
18.2,-0.430282,-1.022916,2.197491,1.754342,0.0,0.0
18.3,-0.431377,-1.016903,2.175141,1.761834,0.0,0.0
18.4,-0.429898,-1.0104,2.152099,1.769621,0.0,0.0
18.5,-0.426062,-1.00357,2.128758,1.777572,0.0,0.0
18.6,-0.4201,-0.996573,2.105485,1.785561,0.0,0.0
18.7,-0.41225,-0.989571,2.082628,1.793463,0.0,0.0
18.8,-0.40275,-0.982718,2.060505,1.801163,0.0,0.0
18.9,-0.391832,-0.97616,2.039409,1.80855,0.0,0.0
19.0,-0.379721,-0.970034,2.019605,1.81552,0.0,0.0
19.1,-0.366632,-0.964467,2.001329,1.821977,0.0,0.0
19.2,-0.352772,-0.959571,1.984787,1.827834,0.0,0.0
19.3,-0.338336,-0.955446,1.970156,1.833011,0.0,0.0
19.4,-0.323513,-0.952186,1.957612,1.837533,0.0,0.0
19.5,-0.308481,-0.949855,1.947243,1.841257,0.0,0.0
19.6,-0.293412,-0.948508,1.939132,1.844141,0.0,0.0
19.7,-0.278472,-0.948186,1.933332,1.846155,0.0,0.0
19.8,-0.26382,-0.948912,1.929863,1.847286,0.0,0.0
19.9,-0.249611,-0.950696,1.928716,1.847533,0.0,0.0
20.0,-0.235996,-0.953531,1.92985,1.84691,0.0,0.0
20.1,-0.22312,-0.957395,1.933193,1.845446,0.0,0.0
20.2,-0.211127,-0.962252,1.938647,1.843177,0.0,0.0
20.3,-0.200155,-0.968054,1.946085,1.840159,0.0,0.0
20.4,-0.190336,-0.974738,1.955355,1.836456,0.0,0.0
20.5,-0.1818,-0.982231,1.966281,1.832139,0.0,0.0
20.6,-0.174666,-0.990447,1.978668,1.82729,0.0,0.0
20.7,-0.169045,-0.999294,1.9923,1.821995,0.0,0.0
20.8,-0.165039,-1.008669,2.006944,1.816348,0.0,0.0
20.9,-0.162731,-1.018461,2.022356,1.810443,0.0,0.0
21.0,-0.16219,-1.028555,2.038277,1.80438,0.0,0.0
21.1,-0.163457,-1.038829,2.054442,1.798258,0.0,0.0
21.2,-0.166552,-1.049159,2.070581,1.792175,0.0,0.0
21.3,-0.17146,-1.059416,2.086422,1.78623,0.0,0.0
21.4,-0.17813,-1.069472,2.101696,1.780517,0.0,0.0
21.5,-0.186471,-1.079199,2.116139,1.775127,0.0,0.0
21.6,-0.196353,-1.088471,2.1295,1.770147,0.0,0.0
21.7,-0.207599,-1.09717,2.141548,1.765653,0.0,0.0
21.8,-0.219993,-1.105181,2.152069,1.761717,0.0,0.0
21.9,-0.233281,-1.112405,2.160882,1.758399,0.0,0.0
22.0,-0.247177,-1.118752,2.167837,1.755748,0.0,0.0
22.1,-0.261377,-1.12415,2.172822,1.753798,0.0,0.0
22.2,-0.275565,-1.128547,2.175766,1.752574,0.0,0.0
22.3,-0.289428,-1.131911,2.176644,1.752082,0.0,0.0
22.4,-0.302669,-1.134231,2.175472,1.752318,0.0,0.0
22.5,-0.315018,-1.135522,2.172309,1.75326,0.0,0.0
22.6,-0.326243,-1.135818,2.167257,1.754875,0.0,0.0
22.7,-0.336153,-1.135175,2.160449,1.757118,0.0,0.0
22.8,-0.344604,-1.133668,2.152052,1.759933,0.0,0.0
22.9,-0.351501,-1.131388,2.142256,1.763257,0.0,0.0
23.0,-0.356793,-1.128437,2.131271,1.767019,0.0,0.0
23.1,-0.36047,-1.124928,2.119317,1.771143,0.0,0.0
23.2,-0.362563,-1.120978,2.106623,1.775552,0.0,0.0
23.3,-0.363128,-1.116707,2.093417,1.780165,0.0,0.0
23.4,-0.36225,-1.112235,2.079925,1.784902,0.0,0.0
23.5,-0.360032,-1.107681,2.066367,1.789685,0.0,0.0
