x,y,z
4.480823590840437021e-01,1.025542793377426376e-02,2.016722408026755675e-01
4.459374741650262708e-01,1.605487129431008853e-02,2.026755852842809236e-01
4.431049071374020265e-01,2.148031944448720865e-02,2.036789297658862796e-01
4.396442753612154197e-01,2.645181736179440593e-02,2.046822742474916357e-01
4.356242740158614568e-01,3.089840982107547318e-02,2.056856187290969917e-01
4.311213671305331174e-01,3.475914130987686756e-02,2.066889632107023200e-01
4.262183729260535792e-01,3.798387073355323496e-02,2.076923076923076761e-01
4.210029691138135188e-01,4.053389040532579674e-02,2.086956521739130321e-01
4.155661447374895401e-01,4.238234230509855399e-02,2.096989966555183882e-01
4.100006256157645579e-01,4.351442814620191252e-02,2.107023411371237442e-01
4.043993004478773634e-01,4.392741334957001031e-02,2.117056856187290725e-01
3.988536741850237100e-01,4.363042852908963209e-02,2.127090301003344286e-01
3.934523743638245197e-01,4.264407548066160430e-02,2.137123745819397846e-01
3.882797347651872344e-01,4.099984788432364108e-02,2.147157190635451407e-01
3.834144790318883000e-01,3.873937992073338971e-02,2.157190635451504968e-01
3.789285247865400441e-01,3.591353872210419074e-02,2.167224080267558251e-01
3.748859263794855901e-01,3.258137898036607416e-02,2.177257525083611811e-01
3.713419717098207506e-01,2.880898008496394352e-02,2.187290969899665372e-01
3.683424456525244417e-01,2.466818782896889120e-02,2.197324414715718932e-01
3.659230695441562098e-01,2.023528398176602933e-02,2.207357859531772493e-01
3.641091229845692667e-01,1.558960786354859733e-02,2.217391304347825776e-01
3.629152509596783038e-01,1.081215446280689267e-02,2.227424749163879336e-01
3.623454560378100986e-01,5.984173612151316365e-03,2.237458193979932897e-01
3.623932721961343750e-01,1.185794286895724839e-03,2.247491638795986457e-01
3.630421137489428518e-01,-3.505302771115317937e-03,2.257525083612040295e-01
3.642657899282877865e-01,-8.015142153872716058e-03,2.267558528428093578e-01
3.660291729583348141e-01,-1.227462027553104240e-02,2.277591973244147139e-01
3.682890050119841940e-01,-1.622056285567163164e-02,2.287625418060200699e-01
3.709948272810763559e-01,-1.979665723767768185e-02,2.297658862876254260e-01
3.740900125633081497e-01,-2.295424586218143895e-02,2.307692307692307820e-01
3.775128812971111913e-01,-2.565296989469037156e-02,2.317725752508361103e-01
3.811978798808407509e-01,-2.786125483497634003e-02,2.327759197324414664e-01
3.850767994084024481e-01,-2.955663286152867414e-02,2.337792642140468224e-01
3.890800126465983055e-01,-3.072589963430936294e-02,2.347826086956521785e-01
3.931377071695195680e-01,-3.136510624000941189e-02,2.357859531772575346e-01
3.971810930448385624e-01,-3.147938986373626652e-02,2.367892976588628628e-01
4.011435643215540137e-01,-3.108264955901331866e-02,2.377926421404682189e-01
4.049617947779406424e-01,-3.019707611628897476e-02,2.387959866220735750e-01
4.085767499253548651e-01,-2.885254745441110172e-02,2.397993311036789310e-01
4.119345990959634163e-01,-2.708590313952821335e-02,2.408026755852842871e-01
